"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
TVE17CE044,"HS210(B), MA202(B+), CE202(P), CE204(F), CE206(B), CE208(F), CE232(B), CE234(C)"
TVE17CE045,"HS210(A), MA202(A+), CE202(B+), CE204(O), CE206(A+), CE208(O), CE232(A), CE234(O)"
TVE17CE046,"HS210(B+), MA202(A+), CE202(B), CE204(B+), CE206(B), CE208(C), CE232(B+), CE234(B)"
TVE17CE047,"HS210(A), MA202(B+), CE202(B), CE204(A), CE206(B+), CE208(F), CE232(B), CE234(O)"
TVE17CE048,"HS210(C), MA202(F), CE202(C), CE204(F), CE206(C), CE208(C), CE232(B+), CE234(A)"
TVE17CE049,"HS210(A+), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE050,"HS210(B+), MA202(O), CE202(B), CE204(A+), CE206(A+), CE208(F), CE232(A), CE234(O)"
TVE17CE051,"HS210(B+), MA202(A), CE202(A), CE204(A+), CE206(B), CE208(B+), CE232(A+), CE234(O)"
TVE17CE052,"HS210(O), MA202(B+), CE202(A+), CE204(A+), CE206(O), CE208(O), CE232(A+), CE234(O)"
TVE17CE053,"HS210(B), MA202(B+), CE202(A), CE204(B), CE206(B+), CE208(B+), CE232(A+), CE234(O)"
TVE17CE054,"HS210(A), MA202(A+), CE202(A), CE204(A), CE206(A+), CE208(O), CE232(A+), CE234(O)"
TVE17CE055,"HS210(A+), MA202(A+), CE202(B+), CE204(A), CE206(A), CE208(B), CE232(O), CE234(O)"
TVE17CE056,"HS210(A), MA202(B+), CE202(F), CE204(B+), CE206(A), CE208(B+), CE232(A), CE234(O)"
TVE17CE057,"HS210(B+), MA202(O), CE202(B), CE204(B+), CE206(A+), CE208(A), CE232(B), CE234(A+)"
TVE17CE058,"HS210(A), MA202(O), CE202(A), CE204(B+), CE206(A), CE208(A+), CE232(O), CE234(O)"
TVE17CE059,"HS210(A+), MA202(A), CE202(B+), CE204(B+), CE206(A), CE208(B+), CE232(A), CE234(A+)"
TVE17CE060,"HS210(FE), MA202(Absent), CE202(Absent), CE204(Absent), CE206(FE), CE208(FE),CE232(FE), CE234(P)"
TVE17CE062,"HS210(B+), MA202(A+), CE202(A+), CE204(A+), CE206(O), CE208(B+), CE232(O), CE234(O)"
TVE17CE063,"HS210(O), MA202(O), CE202(B), CE204(A+), CE206(B+), CE208(B+), CE232(B+), CE234(O)"
TVE17CE064,"HS210(B+), MA202(O), CE202(O), CE204(A), CE206(A+), CE208(B+), CE232(O), CE234(A+)"
TVE17CE065,"HS210(A), MA202(A), CE202(A), CE204(A), CE206(O), CE208(A+), CE232(A+), CE234(A+)"
TVE17CE066,"HS210(A), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(O), CE234(A+)"
TVE17CE068,"HS210(O), MA202(B), CE202(B+), CE204(A+), CE206(B+), CE208(B), CE232(O), CE234(A+)"
TVE17CE070,"HS210(B+), MA202(B), CE202(C), CE204(B), CE206(F), CE208(C), CE232(A+), CE234(A)"
TVE17CE071,"HS210(B+), MA202(O), CE202(O), CE204(A+), CE206(O), CE208(B+), CE232(O), CE234(O)"
TVE17CE072,"HS210(O), MA202(O), CE202(A+), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE073,"HS210(A+), MA202(A+), CE202(A+), CE204(O), CE206(O), CE208(A+), CE232(O), CE234(A+)"
TVE17CE074,"HS210(B), MA202(B+), CE202(B), CE204(B), CE206(B), CE208(F), CE232(A), CE234(B+)"
TVE17CE075,"HS210(B+), MA202(B+), CE202(B+), CE204(A+), CE206(A+), CE208(B+), CE232(O), CE234(O)"
TVE17CE076,"HS210(O), MA202(A+), CE202(O), CE204(A+), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE077,"HS210(B+), MA202(B), CE202(A), CE204(B+), CE206(B), CE208(B), CE232(O), CE234(A+)"
TVE17CE078,"HS210(O), MA202(A+), CE202(A+), CE204(A+), CE206(A+), CE208(O), CE232(O), CE234(O)"
TVE17CE079,"HS210(B+), MA202(A+), CE202(B), CE204(A), CE206(O), CE208(B+), CE232(A+), CE234(A)"
TVE17CE080,"HS210(A), MA202(O), CE202(O), CE204(A), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE081,"HS210(B+), MA202(B+), CE202(B+), CE204(B+), CE206(B), CE208(C), CE232(A+), CE234(A)"
TVE17CE082,"HS210(A), MA202(A), CE202(A+), CE204(A+), CE206(O), CE208(B), CE232(O), CE234(A+)"
TVE17CE083,"HS210(A), MA202(O), CE202(O), CE204(O), CE206(O), CE208(A), CE232(O), CE234(O)"
TVE17CE084,"HS210(B+), MA202(B+), CE202(A+), CE204(A), CE206(A+), CE208(B+), CE232(A), CE234(B+)"
TVE17CE085,"HS210(B+), MA202(B), CE202(B+), CE204(B+), CE206(B+), CE208(B), CE232(B+), CE234(B)"
TVE17CE086,"HS210(B), MA202(B+), CE202(F), CE204(F), CE206(B+), CE208(B), CE232(B+), CE234(B)"
TVE17CE087,"HS210(B), MA202(C), CE202(B), CE204(A), CE206(B), CE208(B+), CE232(A+), CE234(A+)"
TVE17CE088,"HS210(O), MA202(B+), CE202(B+), CE204(A+), CE206(A), CE208(A+), CE232(A+), CE234(A+)"
TVE17CE089,"HS210(B), MA202(B+), CE202(C), CE204(A), CE206(B+), CE208(B+), CE232(A), CE234(A)"
TVE17CE090,"HS210(A+), MA202(A+), CE202(O), CE204(A+), CE206(O), CE208(A), CE232(A+), CE234(A)"
TVE17CE091,"HS210(O), MA202(O), CE202(A), CE204(O), CE206(O), CE208(O), CE232(A+), CE234(A+)"
TVE17CE092,"HS210(B+), MA202(A+), CE202(O), CE204(O), CE206(A+), CE208(O), CE232(O), CE234(A+)"
TVE17CE093,"HS210(O), MA202(A+), CE202(B+), CE204(A), CE206(O), CE208(B+), CE232(A+), CE234(A+)"
TVE17CE094,"HS210(A), MA202(B+), CE202(B), CE204(B), CE206(B), CE208(B+), CE232(O), CE234(O)"
TVE17CE095,"HS210(A+), MA202(A+), CE202(B), CE204(A+), CE206(O), CE208(A), CE232(A+), CE234(A+)"
TVE17CE096,"HS210(O), MA202(A+), CE202(A+), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE097,"HS210(B), MA202(C), CE202(C), CE204(F), CE206(C), CE208(F), CE232(B), CE234(B)"
TVE17CE098,"HS210(A+), MA202(A), CE202(B), CE204(A+), CE206(O), CE208(A), CE232(O), CE234(A+)"
TVE17CE099,"HS210(A+), MA202(B+), CE202(B), CE204(A), CE206(O), CE208(O), CE232(A), CE234(A)"
TVE17CE100,"HS210(B), MA202(C), CE202(C), CE204(B), CE206(B), CE208(F), CE232(O), CE234(A)"
